"LLAVEVIV","P0_1","P0_2","P0_3","P0_4_1","P0_4_1A","P0_4_2","P0_4_2A","P1_1","P1_2","P1_3","FOLIO","VIV_SEL","ENT","TLOC","REGION","EST_DIS","UPM_DIS","FAC_VIV"
"0685408","03","04","01","1","2","1","1","04","1","","06854","08","02","2","1","007","00060",4118
"0685503","02","03","01","1","1","1","1","03","1","","06855","03","26","1","1","151","01764",2117
"0685607","04","05","01","1","1","2","","06","1","","06856","07","18","4","3","101","01219",985
"0685715","02","03","01","1","1","1","1","01","1","","06857","15","24","4","2","137","01597",1065
"0685801","04","06","02","1","2","1","1","02","1","","06858","01","28","1","2","163","01920",1850
"0685901","02","05","02","1","2","1","1","05","1","","06859","01","12","1","6","065","00900",2894
"0686017","01","02","00","2","","2","","06","2","02","06860","17","07","3","6","037","00442",5052
"0686103","02","05","02","1","1","1","1","02","1","","06861","03","05","1","2","030","00363",1343
"0686214","04","06","01","1","2","1","1","05","1","","06862","14","26","2","1","148","01738",2836
"0686304","03","07","02","1","2","1","1","07","1","","06863","04","15","3","5","085","01053",10752
"0686401","03","05","01","2","","1","1","04","1","","06864","01","17","1","5","098","01193",1296
"0686511","04","06","02","1","2","1","1","03","1","","06865","11","31","2","6","179","02090",1761
"0686602","03","04","02","1","1","1","1","03","1","","06866","02","20","1","6","114","01399",3340
"0686719","03","04","01","2","","2","","04","1","","06867","19","17","4","5","096","01157",995
"0686801","01","01","00","2","","1","2","01","1","","06868","01","12","3","6","061","00878",2843
"0686901","01","02","01","2","","1","1","02","1","","06869","01","19","1","2","108","01353",3246
"0687002","03","05","01","1","1","1","1","02","1","","06870","02","26","1","1","151","01778",2117
"0687105","03","05","01","2","","1","1","02","1","","06871","05","21","1","5","120","01429",4036
"0687202","02","03","01","1","1","1","1","01","1","","06872","02","05","1","2","029","00314",1567
"0687314","02","05","01","1","1","1","1","03","1","","06873","14","10","4","1","052","00772",1285
"0687404","03","05","01","1","1","1","1","05","1","","06874","04","22","1","3","128","01508",2001
"0687504","01","05","01","2","","1","1","01","1","","06875","04","26","1","1","151","01787",1971
"0687616","01","01","00","2","","2","","01","1","","06876","16","31","3","6","178","02084",2239
"0687712","02","03","01","2","","1","1","04","1","","06877","12","23","2","6","129","01514",2031
"0687803","01","03","01","2","","1","1","04","1","","06878","03","24","1","2","138","01617",1097
"0687905","02","03","00","1","1","1","1","03","1","","06879","05","09","1","4","048","00578",3996
"0688003","03","06","01","1","2","1","1","04","1","","06880","03","08","1","1","046","00543",3376
"0688101","02","04","01","2","","1","1","04","1","","06881","01","13","4","5","071","00935",2985
"0688205","03","05","02","1","3","1","1","03","1","","06882","05","05","1","2","030","00325",1726
"0688301","02","04","01","1","1","1","1","04","1","","06883","01","09","3","4","048","00562",4673
"0688407","01","04","03","2","","2","","04","1","","06884","07","07","2","6","037","00444",3822
"0688504","01","03","01","1","1","2","","01","1","","06885","04","05","1","2","029","00288",1753
